,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,https://servicodados.ibge.gov.br/api/docs/localidades?utm_source=,,,,,,,,,,,,,,,,,,
"out. 16, 2022",In Progress,FLO080721B ,Paulo Vitor,Luna Torres,"Em carta, indígenas do Tocantins e Goiás manifestam solidariedade ao Levante Pela Terra, em Brasília",Conselho indigenista missionário,"jul. 8, 2021",Nacional,Ação/prática comunicativa ; Carta Cosmopolítica,Ação/Prática Comunicativa ,,sim,,undefined,Movimento Indígena,,Outros,Povos Apinajé; Krahô; Xerente; Krahô-Kanela; Krahô Takaywrá; Karajá; Javaé; Avá-Canoeiro e Tapuia,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Apoio a indígena; Resistência indígena; Denúncia; Defesa dos direitos e territórios indígenas.,
"out. 16, 2022",In Progress,FLO070721D,Paulo Vitor,Luna Torres,Direção da Faculdade Intercultural Indígena publica nota de repúdio,Dourados News ,"jul. 7, 2021",Centro-oeste ; Mato Grosso do Sul ; Dourados; 5003702,,Ação/Prática Comunicativa ,Carta pública de denúncia ,sim,Mata Atlântica,undefined,Movimento estudantil,,Outros,Estudantes; professores; técnicos administrativos da Universidade Federal da Grande Dourados ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Oposição a PL490/2007; Resistência indígena; Nota de apoio; Defesa do território indígena; PL490.,
"out. 16, 2022",In Progress,FLO060721C ,Paulo Vitor,Luna Torres,Entidades acionam a ONU contra projeto que dificulta demarcação de terras indígenas no Brasil,Folha de São Paulo ,"jul. 6, 2021",Nacional,Ação/prática comunicativa ; Carta Pública de denúncia,,,,,Data inicial: 06/07/2021 Data final: 06/07/2021,Movimento Indígena,,"Outros
Articulação dos Povos Indígenas do Brasil (APIB)
Coordenação das Organizações Indígenas da Amazônia Brasileira (Coiab)",Conectas Direitos Humanos; Comissão Arns e Instituto Socioambiental,,Outros,Instituição Internacional ,Outros,Organização das Nações Unidas,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Resistência indígena; Luta pela terra; Aliança com organizações; Defesa dos modos de vida.,
"out. 16, 2022",In Progress,FLO030721C,Paulo Vitor,Luna Torres,Debate Super Sábado #251: As mudanças na demarcação das terras indígenas,Sagres,"jul. 3, 2021",Centro-oeste ; Goiás ; Goiânia; 5208707,Ação/prática comunicativa ; Entrevista concedida,,,,Cerrado,undefined,Movimento Indígena,,Outros,Representantes dos povos Wahinê e Anaquiri,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Demarcação de terras indígenas; Resistência indígena.,
"out. 16, 2022",In Progress,FLO020721D ,Paulo Vitor,Luna Torres,"ABI vai ao STF contra o ""marco temporal"" para demarcação de terras indígenas",Redação Portal Imprensa ,"jul. 2, 2021",Centro-oeste ; Distrito Federal ; Brasília; 5300108,Ação/prática comunicativa ; Carta Pública de denúncia,,,,Cerrado,undefined,"Outros
Movimento Hegemônico",,NI,Associação Brasileira de imprensa ,,Estado,,Supremo Tribunal Federal (STF),,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Resistência contra a PL 490/2007; Apoio externo; Compromisso com a causa indígena.,
"out. 16, 2022",In Progress,FLO020721C,Paulo Vitor,Luna Torres,Geração Z indígena sonha com futuro e luta pela sobrevivência do seu povo,UOL ECOA,"jul. 2, 2021",Nacional,Ação/prática comunicativa ; Entrevista concedida,,,,,Data inicial: 02/07/2021 Data final: 02/07/2021,Movimento Indígena,,Outros,Representantes de povos indígenas Kambiwá; Pataxó; Kaingang; Arapiuns e Terena ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Resistência indígena; aposição a PL 490/2007; Mobilização indígena; Juventude indígena.,
"out. 16, 2022",In Progress,FLO020721B,Paulo Vitor,Luna Torres,Extrativistas fazem bloqueio na PA-254 para reabertura da Floresta Estadual do Trombetas (2),G1 Santarém,"jul. 2, 2021",Norte ; Pará ; Óbidos; 1505106,,Ação/Prática Comunicativa ,Denúncia (Não categorizado),,Floresta Amazônica ,undefined,Outros,Movimento de Coletores de castanha ,Outros,Movimento de Coletores de castanha do Pará,,Estado,,Outros,Ministério Público do Estado do Pará,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Reinvindicação de extrativistas; Associação dos Castanheiros; Extrativistas; Conversa com Ministério Público.,
"out. 14, 2022",In Progress,FLO190721B,Paulo Vitor,Luna Torres,"Moradores de Campo Grande denunciam que, apesar de interdição, obra avança dentro de parque",G1 RJ,"jul. 19, 2021",Sudeste ; Rio de Janeiro ; Rio de Janeiro; 3304557,,não categorizado ,não categorizado ,,Mata Atlântica,undefined,Outros,Movimento de moradores,Outros,Movimento de Moradores do Bairro Campo Grande no Rio de Janeiro- RJ,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Defesa da floresta; conservação da vegetação; construção irregular; crescimento desordenado.,
"out. 14, 2022",In Progress,FLO210721B ,Paulo Vitor,Luna Torres,Moradores denunciam derrubada de mais de 70 árvores no Parque Orla de Piratininga,O Globo ,"jul. 21, 2021",Sudeste ; Rio de Janeiro ; Niterói; 3303302,Não categorizado,não categorizado ,,,Mata Atlântica,undefined,Outros,Movimento de moradores,Outros,Movimento de moradores de Niterói ,,Outros,,Outros,Câmara Legislativa de Niterói,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Defesa da floresta; organização de moradores; Derrubada de árvores.,
"out. 14, 2022",In Progress,FLO270721B ,Paulo Vitor,Luna Torres,Nota de repúdio às declarações do coordenador da Funai no Vale do Javari,Conselho indigenista missionário,"jul. 27, 2021",Nacional,Ação/prática comunicativa ; Nota de repúdio,,,sim,,Data inicial: 27/07/2021 Data final: 27/07/2021,Movimento Indígena,,Outros,Conselho Indigenista Missionário,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Denúncias contra a FUNAI; Luta pela vida; Resistência a ataques institucionais. ,
"out. 14, 2022",In Progress,FLO201021C,Raquel,Maia,Líder indígena do Acre critica Fórum de Bioeconomia: ‘Usam recursos da Amazônia sem medir limites’,Contilnet Notícias,"out. 20, 2021",Online,Ação/prática comunicativa ; Entrevista concedida,,,sim,,Data inicial: 20/10/2021 Data final: 20/10/2021,Movimento Indígena,,NI,,"Luta contra a violação dos direitos humanos
Preservação ambiental",NI,,NI,,"3; Saúde e Bem-Estar
4; Educação de Qualidade
12; Consumo e Produção Responsáveis
15; Vida Terrestre",Fórum Mundial de Bioeconomia; participação indígena,
"out. 14, 2022",In Progress,FLO201021B,Raquel ,Maia,Comunidades em Pernambuco lutam por efetivação da Lei de Diretrizes da Educação Quilombola,Brasil de Fato,"out. 20, 2021",Estadual ; Pernambuco,Ação/prática comunicativa ; Entrevista concedida,,,,,Data inicial: 20/10/2021 Data final: 20/10/2021,Movimento Quilombola,,NI,,"Luta contra a violação dos direitos humanos
Preservação ambiental
Combate ao Covid-19",Outros,,Outros,,"4; Educação de Qualidade
15; Vida Terrestre",Lei Municipal n° 683/2020; Diretrizes da Educação Quilombola,
"out. 14, 2022",In Progress,FLO201021A,Raquel,Maia,Sonia Guajajara critica decisão de senadores de retirar acusação de genocídio indígena contra Bolsonaro,Carta Capital,"out. 20, 2021",Online,Não categorizado,Prática comunicativa,Mobilização em rede social (postagem),sim,,Data inicial: 20/10/2021 Data final: 20/10/2021,Movimento Indígena,,Outros,,"Luta contra a violação dos direitos humanos
Combate ao Covid-19",NI,,NI,,"3; Saúde e Bem-Estar
15; Vida Terrestre","Genocídio indígena; relatório COVID, Sonia Guajajara",
"out. 14, 2022",In Progress,FLO270721A,Paulo Vitor,Luna Torres,Líder quilombola marisqueira denuncia ameaças na Bahia,Brasil 247,"jul. 27, 2021",Nordeste ; Bahia ; Salvador; 2927408,,Ocupação,Ocupação de espaço privado  ,,Mata Atlântica,Data inicial: 27/07/2021 Data final: 27/07/2021,Outros,Movimento de mulheres Marisqueiras,Outros,Movimento de Mulheres Marisqueiras de Salvador,,Empresa,,Outros,TV Record/Itapoan,15; Vida Terrestre,Resistência a ataques; Luta por direitos essenciais; Oposição a ataques e ameaças. ,
"out. 14, 2022",In Progress,FLO210721A ,Paulo Vitor,Luna Torres,"Moradores do bairro de Mussurunga, em Salvador, voltam a protestar contra obra de desmatamento na região",G1 BA,"jul. 21, 2021",Nordeste ; Bahia ; Salvador; 2927408,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,Data inicial: 21/07/2021 Data final: 21/07/2021,Outros,Movimento de moradores,Outros,Movimento de moradores do bairro Mussurunga em Salvador-BA,,Estado,,Outros,Tribunal de Justiça da Bahia (TJ-BA),"13; Ação Contra Mudança Global do Clima
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Luta pela conservação da floresta; Preservação da memória; Oposição os interesses privados.,
"out. 14, 2022",In Progress,FLO160721F,Paulo Vitor,Luna Torres,Justiça determina paralisação de obra em Salvador onde moradores denunciam desmatamento; multa foi aplicada,G1 BA,"jul. 16, 2021",Nordeste ; Bahia ; Salvador; 2927408,Ação/prática comunicativa ; Live e produção de conteúdo,,,,Mata Atlântica,,Outros,Movimento de moradores,Outros,Movimento de moradores do bairro Mussurunga em Salvador-BA,,NI,,NI,,"13; Ação Contra Mudança Global do Clima
15; Vida Terrestre",Divulgação de denúncia; Resistência aos interesses privados; Organização de moradores; Luta pela floresta. ,
"out. 14, 2022",In Progress,FLO260721A,Paulo Vitor,Luna Torres,PE: povo Tuxá abre financiamento coletivo para construção de biblioteca na comunidade,Brasil de fato,"jul. 26, 2021",Nordeste ; Pernambuco ; Itacuruba; 2607406,Arrecadação de recursos ou execução de serviços ; Mutirão,,,,Caatinga,undefined,"Outros
Movimento Indígena",,Outros,Povo Tuxá,,Outros,Universidade ,Outros,Residência Multiprofissional em Saúde da Família,4; Educação de Qualidade,Luta pela educação; Mutirão de arrecadação; Rede de solidariedade; Resistência Indígena. ,
"out. 13, 2022",In Progress,FLO060721B ,Paulo Vitor,Luna Torres,Indígenas retém caminhonete do Estado para cobrar reforma de escola com risco de desabamento em aldeia,G1 TO,"jul. 6, 2021",Norte ; Tocantins ; Formoso do Araguaia; 1708205,Não categorizado,Ações paraestatais ,Apreensão de pessoas e/ou Maquinários,,Cerrado,undefined,Movimento Indígena,,Outros,Indígenas Javaé ,,Estado,,Outros,Secretaria de Estado da Educação do Tocantins ,"4; Educação de Qualidade
16; Paz Justiça e Instituições Eficazes",Luta pela educação indígena; Cobrança por reforma de escola.,
"out. 13, 2022",In Progress,FLO070721C ,Paulo Vitor,Luna Torres,"Indígenas voltam a protestar contra a Norte Energia em Altamira, no PA",G1 PA,"jul. 7, 2021",Norte ; Pará ; Altamira; 1500602,Não categorizado,Ocupação,Ocupação de espaço público ,,Floresta Amazônica ,undefined,Movimento Indígena,,Outros,"Indígenas de ao menos cem aldeias da região do Xingu, no Pará",,Estado,,Outros,Justiça Federal em Altamira-PA.,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Representação indígena; Usina de Belo Monte; Oposição aos interesses privados de empresas; Indenização aos danos de Belo Monte.,
"out. 13, 2022",In Progress,FLO220721B,Paulo Vitor,Luna Torres,Instituto Indígena do Tocantins repudia ação de madeireiros ilegais na Ilha do Bananal,Surgiu,"jul. 22, 2021",Estadual ; Tocantins,Ação/prática comunicativa ; Carta Pública de denúncia,,,,,undefined,Movimento Indígena,,Outros,Instituto Indígena do Tocantins- INDTINS,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Defesa do Meio Ambiente; Omissão estatal; Oposição ao desmatamento; Luta contra crimes ambientais.,
"out. 13, 2022",In Progress,FLO090721D,Paulo Vitor,Luna Torres,Gigante do agronegócio ocupa e viola três cemitérios quilombolas e um indígena no Pará,Brasil de fato,"jul. 9, 2021",Norte ; Pará ; Acará; 1500206,Ação/prática comunicativa ; Entrevista concedida,,,,Floresta Amazônica ,undefined,Movimento Quilombola,,Outros,Quilombolas da Comunidade da Balsa,,Empresa,,Outros,Agropalma,15; Vida Terrestre,Apropriação da empresa Agropalma; Cemitério quilombola; Luta pelo direito a memória.,
"out. 13, 2022",In Progress,FLO030721B,Paulo Vitor,Luna Torres,População volta às ruas pela 3ª vez para pressionar por impeachment de Bolsonaro,Brasil de fato,"jul. 3, 2021",Nacional,Não categorizado,Ocupação,Ocupação de espaço público ,,,Data inicial: 03/07/2021 Data final: 03/07/2021,"Outros
Movimento Camponês
Movimento de Mulheres
Movimento estudantil
Movimento Indígena
Movimento Negro
Movimento Quilombola
Movimento LGBTQIA+",,Outros,,,"Fundação
ONG
Partido
Sindicato
Outros",,"Outros
PT
PSOL
REDE SUSTENTABILIDADE",,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Corrupção do Governo; Compras de vacinas; Impeachment; ocupação de ruas; ,
"out. 13, 2022",In Progress,FLO080721A,Paulo Vitor,Luna Torres,"""Ou gente luta ou o tratoraço vai acabar com todos os direitos indígenas"" , diz militante",Brasil de fato,"jul. 8, 2021",Estadual ; Paraná,Ação/prática comunicativa ; Entrevista concedida,,,sim,,Data inicial: 05/07/2021 Data final: 05/07/2021,Movimento Indígena,,Outros,Representante do Povo Guarani Nhandewa,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Mobilização indígena; Levante pela terra; Luta por direitos; Defesa dos modos de vida.,
"out. 13, 2022",In Progress,FLO290721A,Paulo Vitor,Luna Torres,"Servidores do governo trocaram vacinas para indígenas por ouro, diz denúncia",Carta Capital,"jul. 29, 2021",Estadual ; Roraima,Não categorizado,Ação/Prática Comunicativa ,Ofício ,,Floresta Amazônica ,undefined,Movimento Indígena,,Outros,Conselho Distrital de Saúde Indígena Yanomami e Ye’Kuana (Condisi-YY),,Estado,,Ministério Público Federal (MPF),Sesai; Polícia Federal ,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Corrupção em aplicação de vacinas; Venda de vacinas; Receptação por garimpeiros; Troca por ouro; Insegurança indigena.,
"out. 13, 2022",In Progress,FLO230721A,Paulo Vitor,Luna Torres,"'Setor energético tem que ser propriedade do Estado' , diz Iury Paulino",Brasil 247,"jul. 23, 2021",Nacional,Ação/prática comunicativa ; Entrevista concedida,,,sim,,Data inicial: 16/07/2021 Data final: 16/07/2021,Movimento de Atingidos,,Movimento dos Atingidos por Barragens (MAB),,,NI,,NI,,7; Energia Limpa e Acessível,Soberania energética; Acesso a energia democrática; Controle estatal sobre o setor elétrico nacional; Lógica neoliberal. ,
"out. 13, 2022",In Progress,FLO010721B,Paulo Vitor,Luna Torres,Veja a lista com os nomes de quem assinou o 'superpedido' de impeachment de Bolsonaro,Diário do Nordeste,"jul. 1, 2021",Nacional,Ação/prática comunicativa ; Carta Pública de denúncia,,,,,undefined,"Outros
Movimento Camponês
Movimento estudantil
Movimento Indígena
Movimento Negro
Movimento Religioso 
Movimento LGBTQIA+",,"Outros
Articulação dos Povos Indígenas do Brasil (APIB)","Mauro de Azevedo Menezes, membro da Associação Brasileira de Juristas pela Democracia (ABJD); Tânia Maria de Oliveira, membro da Associação Brasileira de Juristas pela Democracia (ABJD); Sônia Guajajara, coordenadora-executiva da Articulação dos Povos Indígenas do Brasil (APIB); Inácio Lemke, presidente do Conselho Nacional de Igrejas Cristãs do Brasil (Conic); Paulo Jerônimo de Sousa, presidente da Associação Brasileira de Imprensa (ABI); Marco Aurélio de Carvalho, coordenador do Grupo Prerrogativas; Raimundo José Arruda Bastos, coordenador da Associação Brasileira de Médicos e Médicas pela Democracia (ABMMD); Iago Montalvo Oliveira Campos, presidente da União Nacional dos Estudantes (UNE); Rozana Fonseca Barroso da Silva, presidente da União Brasileira de Estudantes Secundaristas (Ubes); Cristina de Faria Cordeiro, presidente da Associação Juízes para a Democracia (AJD); Gabriel Napoleão Velloso Filho, desembargador do Trabalho e integrante da Associação Juízes para a Democracia (AJD); Claudia Maria Dadico, Associação Juízes para a Democracia (AJD); Ana Paula Costa Barbosa, representante do Coletivo Defensoras e Defensores Públicos pela Democracia; Sheila Santana de Carvalho, da Coalizão Negra por Direitos; Douglas Belchior, da Coalizão Negra por Direitos; Symmy Larrat Brito de Carvalho, presidente da Associação Brasileira de Gays, Lésbicas, Travestis e Transexuais (ABGLT); Vanessa Patriota da Fonseca, integrante do Fórum Social Mundial Justiça e Democracia (FSMJD); Mauri José Vieira da Cruz, integrante do Fórum Social Mundial Justiça e Democracia (FSMJD);  Nalu de Faria da Silva, da Marcha Mundial das Mulheres; Maria Anna Eugênia do Valle Pereira Stockler, representante da 342 Artes; Raimundo Vieira Bonfim, coordenador-geral da Central de Movimentos Populares (CMP); Guilherme Boulos, coordenador da Frente Povo Sem Medo; Alex Sandro Gomes, presidente da Associação Nacional das Torcidas Organizadas do Brasil (Anatorg); João Paulo Rodrigues Chaves, do Movimento dos Trabalhadores Sem Terra (MST); José Reginaldo Inácio, presidente da Nova Central Sindical de Trabalhadores (NCST); Adilson Gonçalves de Araújo, presidente nacional da Central de Trabalhadores e Trabalhadores do Brasil (CTB); Edson Carneiro da Silva, presidente da Intersindical Central da Classe Trabalhadora; Sérgio Nobre, presidente da Central Única dos Trabalhadores (CUT); Atnágoras Teixeira Lopes, da Central Sindical e Popular Conlutas; Miguel Eduardo Torres, presidente da Força Sindical; José Gozze, presidente nacional da Pública Central do Servidor; Edmilson Silva Costa, secretário-geral do PCB; Carlos Siqueira, presidente nacional do PSB; Gleisi Hoffmann, presidente nacional do PT; José Maria de Almeida, presidente nacional do PSTU; Juliano Medeiros, presidente nacional do PSOL; Carlos Lupi, presidente nacional do PDT; Leonardo Pericles Vieira Roque, presidente nacional da Unidade Popular (UP); Luciana Santos, presidente nacional do PCdoB; Rui Costa Pimenta, presidente da Executiva Nacional do PCO; Heloísa Helena, presidente da Rede Sustentabilidade; Wesley Elderson Diógenes Nogueira, da Rede Sustentabilidade; Roberto Freire, presidente Nacional do Cidadania; Joice Hasselmann, deputada federal (PSL-SP); Kim Kataguiri, deputado federal (DEM-SP); Alexandre Frota, deputado federal (PSDB-SP)",,"Igreja/Movimento Religioso
Partido
Sindicato
Outros",Sindicato; ,"PT
PSOL
REDE SUSTENTABILIDADE",PDT; PCB; PSTU; PCP; PCdoB; PSB; Cidadania; Unidade Popular UP. ,16; Paz Justiça e Instituições Eficazes,Pedido de Impeachment; Crimes cometidos na pandemia; Descaso aos povos indigenas; Superfaturamento de vacinas.,
"out. 13, 2022",In Progress,FLO220721A,Paulo Vitor,Luna Torres,Terreno abandonado e cheio de lixo vira horta agroecológica em comunidade de Vitória (ES),Brasil de fato,"jul. 22, 2021",Sudeste ; Espírito Santo ; Vitória; 3205309,,,,,Mata Atlântica,undefined,Outros,Movimento de moradores,Outros,Comunidade de Moradores de Vitória; Rede Urbana Capixaba de Agroecologia,,NI,,NI,,"2; Fome Zero e Agricultura Sustentável
15; Vida Terrestre",Enfrentamento a fome; Apropriação do espaço; Soberania alimentar; Horta orgânica; Cultivo de plantas tradicionais; Rede de alimentos comunitário.,
"out. 13, 2022",In Progress,FLO191021B,Raquel,Maia,CPI recebe dossiê da covid entre povos indígenas do Amazonas,BNC Amazonas,"out. 19, 2021",Estadual ; Distrito Federal,Judicialização ; Ofício de reivindicação de ato do executivo,,,,,Data inicial: 19/10/2021 Data final: 19/10/2021,Movimento Indígena,,Outros,Frente Amazônia de Mobilização em Defesa dos Direitos Indígenas,"Luta contra a violação dos direitos humanos
Combate ao Covid-19",Outros,,Outros,,15; Vida Terrestre,Dossiê sobre o covid entre povos indígenas,
"out. 13, 2022",In Progress,FLO191021A,Raquel,Maia,Políticas públicas para os povos indígenas são discutidas em Audiência Pública,Assessoria de Imprensa Câmara Municipal de Bauru,"out. 19, 2021",Sudeste ; São Paulo ; Bauru; 3506003,Ação de interseccionalidade institucional ; Participação em audiência pública,,,sim,,Data inicial: 19/10/2021 Data final: 19/10/2021,Movimento Indígena,,Outros,,,Estado,,Outros,Câmara Municipal de Bauru,"4; Educação de Qualidade
15; Vida Terrestre",Debate de demandas indígenas,
"out. 13, 2022",In Progress,FLO101021C,Raquel,Maia,"Líder indígena do Acre alerta: “As mudanças do clima são um problema de todos, não apenas dos índios”",Contilnet,"out. 10, 2021",Online,Eventos ; Fórum,,,sim,,Data inicial: 21/09/2021 Data final: 23/09/2021,Movimento Indígena,,Outros,,"Luta contra a violação dos direitos humanos
Preservação ambiental",Outros,,Outros,,4; Educação de Qualidade, Conferência Digital GLF Amazônia 2021; ,
"out. 13, 2022",In Progress,FLO101021B,Raquel,Maia,Documentário com rapper indígena alerta para o genocídio dos povos originários,Carta Capital,"out. 10, 2021",Online,Ação/prática comunicativa ; Live e produção de conteúdo,,,sim,,Data inicial: 10/10/2021 Data final: 10/10/2021,Movimento Indígena,,NI,,"Luta contra a violação dos direitos humanos
Preservação ambiental",NI,,NI,,4; Educação de Qualidade,Documentário indígena,
"out. 13, 2022",In Progress,FLO101021A,Raquel,Maia,Grupo de mulheres de Marãiwatsédé (MT) garantem a recuperação da floresta,Dom Total,"out. 10, 2021",Estadual ; Mato Grosso,Não categorizado,Arrecadação de recursos,Ação de autosustentabilidade,,,Data inicial: 10/10/2021 Data final: 10/10/2021,Movimento Indígena,,Outros,Mulheres da terra indígena Marãiwatsédé,"Luta contra a violação dos direitos humanos
Preservação ambiental",Outros,,Outros,,"1; Erradicação da Pobreza
11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre",Mulheres coletoras de sementes; geração de renda; reflorestamento ,Reflorestamento e renda à comunidade indígena
"out. 13, 2022",In Progress,FLO091021B,Raquel,Maia,"Ciclo de diálogos aborda em 3º encontro estudos e a formação de indígenas, quilombolas e povos tradicionais no semiárido",G1 Petrolina,"out. 9, 2021",Online,Ação/prática comunicativa ; Live e produção de conteúdo,,,sim,,Data inicial: 13/10/2021 Data final: 12/11/2021,Outros,,NI,,Luta contra a violação dos direitos humanos,NI,,NI,,4; Educação de Qualidade,Debate online,
"out. 11, 2022",In Progress,FLO241121A,Maria Luiza ,Araújo Lopes,O Brasil de Bolsonaro e o extermínio dos povos indígenas,ECOA UOL,"nov. 24, 2021",Norte ; Roraima ; Alto Alegre; 1400050,Ação/prática comunicativa ; Carta Pública de denúncia online,,,sim,Amazônia,Data inicial: 24/11/2021 Data final: 24/11/2021,Movimento Indígena,,Outros,Thyara Pataxó; João Payayá,,NI,,NI,,3; Saúde e Bem-Estar,Malária; Desnutrição; Secretaria Especial de Saúde Indígena,
"out. 11, 2022",In Progress,FLO261121C,Maria Luiza ,Araújo Lopes,"Nova corrida do ouro ilegal leva 1,8 mil homens ao Rio Madeira, na Amazônia",Brasil de Fato,"nov. 26, 2021",Norte ; Amazonas ; Autazes; 1300300,Não categorizado,Ação/Prática Comunicativa,Denúncia às Autoridades ,,Amazônia,Data inicial: 23/11/2021 Data final: 23/11/2021,Outros,Ribeirinhos,Outros,Ribeirinhos da Comunidade de Rosarinho,,Estado,,"Outros
Ministério Público Federal (MPF)", Prefeitura de Autazes; Agência Nacional de Mineração; Comando Militar da Amazônia; Superintendência da Polícia Federal no Amazonas; Agência Fluvial de Itacoatiara; Unidade da Marinha encarregada do Rio Madeira; Instituto de Proteção Ambiental do Amazonas; Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,"14; Vida na Água
15; Vida Terrestre",Garimpo; Extração Ilegal; Rio Madeira,
"out. 11, 2022",In Progress,FLO261121B,Maria Luiza ,Araújo Lopes,Mineração de bauxita em MG: comunidades da Serra do Brigadeiro discutem projeto alternativo,Brasil de Fato,"nov. 26, 2021",Sudeste ; Minas Gerais ; Muriaé; 3143906,Eventos ; Assembleia,,,,Mata Atlântica,Data inicial: 16/11/2021 Data final: 16/11/2021,Outros,,Outros,Comissão Regional de Enfrentamento à Mineração,,Estado,,Outros,Instituto Estadual de Florestas (IEF),"12; Consumo e Produção Responsáveis
15; Vida Terrestre",Lei 23207; Agroecologia; Proteção Territorial ,
"out. 11, 2022",In Progress,FLO271121A,Maria Luiza ,Araújo Lopes,Comunidades quilombolas pedem anulação do processo de concessão do Jalapão,AF Notícias,"nov. 27, 2021",Norte ; Tocantins ; São Félix do Tocantins; 1720150,Ação/prática comunicativa ; Carta Pública de denúncia,,,sim,Cerrado,Data inicial: 27/11/2021 Data final: 27/11/2021,Movimento Quilombola,,Outros,Comunidade Quilombola Ambrózio; Comunidade Quilombola Boa Esperança; Comunidade Quilombola Carrapato; Comunidade Quilombola Formiga; Comunidade Quilombola Mata; Comunidade Quilombola Mumbuca; Comunidade Quilombola Prata; Comunidade Quilombola Riachão; Comunidade Quilombola Rio Novo; Comunidade Quilombola Rio Preto,,NI,,NI,,16; Paz Justiça e Instituições Eficazes,Convenção 169 OIT; Serviços Turísticos; Regularização de Terras,
"out. 11, 2022",In Progress,FLO261121A,Maria Luiza ,Araújo Lopes,Txai Suruí denuncia criação de gado em cima de cemitério indígena em Rondônia,G1,"nov. 26, 2021",Norte ; Rondônia ; Guajará-Mirim; 1100106,Ação/prática comunicativa ; Carta Pública de denúncia online,,,sim,Amazônia,Data inicial: 25/11/2021 Data final: 25/11/2021,Movimento Indígena,,Outros,Txai Suruí,,Outros,Associação,Outros,Associação Jupaú,15; Vida Terrestre,Uru-Eu-Wau-Wau; Nasa; Funai,
"out. 11, 2022",In Progress,FLO291121C,Maria Luiza ,Araújo Lopes,"Após terem balsas incendiadas, garimpeiros fazem protesto em Novo Aripuanã",A Crítica,"nov. 29, 2021",Norte ; Amazonas ; Novo Aripuanã; 1303304,Não categorizado,Deslocamento Coletivo,Passeata ,,Amazônia,Data inicial: 29/11/2021 Data final: 29/11/2021,Outros,Garimpeiros ,NI,,,Estado,,Outros,Prefeitura ,"8; Trabalho Decente e Crescimento Econômico
10; Redução das Desigualdades",Operação Uiara; Rio Madeira; Desabrigados,
"out. 7, 2022",In Progress,FLO291121B,Maria Luiza ,Araújo Lopes,Indígenas contestam dados da Sesai e propõem criação de subdistrito,FOLHA BV,"nov. 29, 2021",Norte ; Roraima ; Boa Vista; 1400100,Encontro ; Reunião de orientação sanitária,,,,Amazônia,Data inicial: 29/11/2021 Data final: 29/11/2021,Movimento Indígena,,Povo Yanomami,,,Estado,,Outros,Secretaria Especial de Saúde Indígena (SESAI),3; Saúde e Bem-Estar,Saúde Indígena; Negligência; Atendimento,
"out. 5, 2022",In Progress,FLO091021A,Raquel,Maia,Cantora Djuena Tikuna fala sobre racismo entre os indígenas,ABC do ABC,"out. 9, 2021",Online,Ação/prática comunicativa ; Entrevista concedida,,,sim,,Data inicial: 09/10/2021 Data final: 09/10/2021,Movimento Indígena,,Outros,,Luta contra a violação dos direitos humanos,NI,,NI,,"4; Educação de Qualidade
10; Redução das Desigualdades",Entrevista; racismo,
"out. 5, 2022",In Progress,FLO081021D,Raquel,Maia,Coletivo feminino de Mata Cavalo oferece cursos gratuitos sobre tradições quilombolas,PNB Online,"out. 8, 2021",Centro-oeste ; Mato Grosso ; Nossa Senhora do Livramento; 5106109,Não categorizado,Disseminação de conhecimentos,Curso de vivência e fazeres ,sim,Cerrado,Data inicial: 08/10/2021 Data final: 08/10/2021,Movimento Quilombola,,Outros,Coletivo de Mulheres do Quilombo de Mata Cavalo,Luta contra a violação dos direitos humanos,NI,,NI,,"4; Educação de Qualidade
5; Igualdade de Gênero",Curso de saberes quilombolas; mulheres quilombolas,Contribuir com a transmissão de vivências e saberes tradicionais quilombolas
